# x y r lon
0.952069 0.029911 0.952539 0.031406
0.952079 0.029980 0.952551 0.031479
0.952089 0.030049 0.952563 0.031551
0.952099 0.030119 0.952575 0.031623
0.952109 0.030188 0.952587 0.031696
0.952119 0.030257 0.952600 0.031768
0.952129 0.030327 0.952612 0.031841
0.952139 0.030396 0.952624 0.031913
0.952149 0.030465 0.952636 0.031985
0.952159 0.030534 0.952648 0.032058
0.952169 0.030604 0.952661 0.032130
0.952179 0.030673 0.952673 0.032202
0.952189 0.030742 0.952685 0.032274
0.952199 0.030811 0.952698 0.032346
0.952210 0.030880 0.952710 0.032419
0.952220 0.030949 0.952723 0.032491
0.952230 0.031018 0.952735 0.032563
0.952240 0.031087 0.952748 0.032635
0.952250 0.031157 0.952760 0.032707
0.952261 0.031226 0.952773 0.032779
0.952271 0.031295 0.952785 0.032851
0.952281 0.031364 0.952798 0.032923
0.952292 0.031433 0.952810 0.032995
0.952302 0.031502 0.952823 0.033067
0.952313 0.031571 0.952836 0.033139
0.952323 0.031640 0.952848 0.033211
0.952333 0.031708 0.952861 0.033283
0.952344 0.031777 0.952874 0.033355
0.952354 0.031846 0.952887 0.033427
0.952365 0.031915 0.952899 0.033499
0.952375 0.031984 0.952912 0.033571
0.952386 0.032053 0.952925 0.033643
0.952397 0.032122 0.952938 0.033714
0.952407 0.032190 0.952951 0.033786
0.952418 0.032259 0.952964 0.033858
0.952428 0.032328 0.952977 0.033930
0.952439 0.032397 0.952990 0.034001
0.952450 0.032465 0.953003 0.034073
0.952461 0.032534 0.953016 0.034145
0.952471 0.032603 0.953029 0.034216
0.952482 0.032672 0.953042 0.034288
0.952493 0.032740 0.953055 0.034360
0.952504 0.032809 0.953068 0.034431
0.952514 0.032877 0.953082 0.034503
0.952525 0.032946 0.953095 0.034574
0.952536 0.033015 0.953108 0.034646
0.952547 0.033083 0.953121 0.034717
0.952558 0.033152 0.953135 0.034789
0.952569 0.033220 0.953148 0.034860
0.952580 0.033289 0.953161 0.034932
0.952591 0.033357 0.953175 0.035003
0.952602 0.033426 0.953188 0.035074
0.952613 0.033494 0.953202 0.035146
0.952624 0.033563 0.953215 0.035217
0.952635 0.033631 0.953229 0.035288
0.952646 0.033699 0.953242 0.035360
0.952657 0.033768 0.953256 0.035431
0.952669 0.033836 0.953269 0.035502
0.952680 0.033904 0.953283 0.035574
0.952691 0.033973 0.953296 0.035645
0.952702 0.034041 0.953310 0.035716
0.952713 0.034109 0.953324 0.035787
0.952725 0.034178 0.953337 0.035858
0.952736 0.034246 0.953351 0.035929
0.952747 0.034314 0.953365 0.036000
0.952759 0.034382 0.953379 0.036071
0.952770 0.034450 0.953393 0.036142
0.952781 0.034519 0.953406 0.036214
0.952793 0.034587 0.953420 0.036285
0.952804 0.034655 0.953434 0.036355
0.952816 0.034723 0.953448 0.036426
0.952827 0.034791 0.953462 0.036497
0.952839 0.034859 0.953476 0.036568
0.952850 0.034927 0.953490 0.036639
0.952862 0.034995 0.953504 0.036710
0.952873 0.035063 0.953518 0.036781
0.952885 0.035131 0.953532 0.036852
0.952896 0.035199 0.953546 0.036922
0.952908 0.035267 0.953560 0.036993
0.952920 0.035335 0.953575 0.037064
0.952931 0.035403 0.953589 0.037135
0.952943 0.035471 0.953603 0.037205
0.952955 0.035539 0.953617 0.037276
0.952967 0.035607 0.953631 0.037347
0.952978 0.035674 0.953646 0.037417
0.952990 0.035742 0.953660 0.037488
0.953002 0.035810 0.953674 0.037558
0.953014 0.035878 0.953689 0.037629
0.953026 0.035946 0.953703 0.037699
0.953037 0.036013 0.953718 0.037770
0.953049 0.036081 0.953732 0.037840
0.953061 0.036149 0.953747 0.037911
0.953073 0.036216 0.953761 0.037981
0.953085 0.036284 0.953776 0.038052
0.953097 0.036352 0.953790 0.038122
0.953109 0.036419 0.953805 0.038192
0.953121 0.036487 0.953819 0.038263
0.953133 0.036554 0.953834 0.038333
0.953145 0.036622 0.953849 0.038403
0.953158 0.036690 0.953863 0.038474
0.953170 0.036757 0.953878 0.038544
0.953182 0.036825 0.953893 0.038614
0.953194 0.036892 0.953908 0.038684
0.953206 0.036959 0.953922 0.038754
0.953218 0.037027 0.953937 0.038825
0.953231 0.037094 0.953952 0.038895
0.953243 0.037162 0.953967 0.038965
0.953255 0.037229 0.953982 0.039035
0.953267 0.037296 0.953997 0.039105
0.953280 0.037364 0.954012 0.039175
0.953292 0.037431 0.954027 0.039245
0.953305 0.037498 0.954042 0.039315
0.953317 0.037566 0.954057 0.039385
0.953329 0.037633 0.954072 0.039455
0.953342 0.037700 0.954087 0.039524
0.953354 0.037767 0.954102 0.039594
0.953367 0.037834 0.954117 0.039664
0.953379 0.037901 0.954132 0.039734
0.953392 0.037969 0.954148 0.039804
0.953404 0.038036 0.954163 0.039874
0.953417 0.038103 0.954178 0.039943
0.953430 0.038170 0.954193 0.040013
0.953442 0.038237 0.954209 0.040083
0.953455 0.038304 0.954224 0.040152
0.953468 0.038371 0.954239 0.040222
0.953480 0.038438 0.954255 0.040292
0.953493 0.038505 0.954270 0.040361
0.953506 0.038572 0.954285 0.040431
0.953518 0.038639 0.954301 0.040500
0.953531 0.038706 0.954316 0.040570
0.953544 0.038773 0.954332 0.040639
0.953557 0.038839 0.954347 0.040709
0.953570 0.038906 0.954363 0.040778
0.953583 0.038973 0.954379 0.040847
0.953595 0.039040 0.954394 0.040917
0.953608 0.039107 0.954410 0.040986
0.953621 0.039173 0.954426 0.041055
0.953634 0.039240 0.954441 0.041125
0.953647 0.039307 0.954457 0.041194
0.953660 0.039373 0.954473 0.041263
0.953673 0.039440 0.954488 0.041332
0.953686 0.039507 0.954504 0.041402
0.953699 0.039573 0.954520 0.041471
0.953712 0.039640 0.954536 0.041540
0.953726 0.039707 0.954552 0.041609
0.953739 0.039773 0.954568 0.041678
0.953752 0.039840 0.954584 0.041747
0.953765 0.039906 0.954600 0.041816
0.953778 0.039973 0.954616 0.041885
0.953792 0.040039 0.954632 0.041954
0.953805 0.040105 0.954648 0.042023
0.953818 0.040172 0.954664 0.042092
0.953831 0.040238 0.954680 0.042161
0.953845 0.040305 0.954696 0.042230
0.953858 0.040371 0.954712 0.042299
0.953871 0.040437 0.954728 0.042367
0.953885 0.040504 0.954744 0.042436
0.953898 0.040570 0.954761 0.042505
0.953912 0.040636 0.954777 0.042574
0.953925 0.040702 0.954793 0.042642
0.953939 0.040769 0.954809 0.042711
0.953952 0.040835 0.954826 0.042780
0.953966 0.040901 0.954842 0.042848
0.953979 0.040967 0.954858 0.042917
0.953993 0.041033 0.954875 0.042986
0.954006 0.041099 0.954891 0.043054
0.954020 0.041165 0.954908 0.043123
0.954033 0.041231 0.954924 0.043191
0.954047 0.041297 0.954941 0.043260
0.954061 0.041363 0.954957 0.043328
0.954075 0.041429 0.954974 0.043396
0.954088 0.041495 0.954990 0.043465
0.954102 0.041561 0.955007 0.043533
0.954116 0.041627 0.955023 0.043601
0.954130 0.041693 0.955040 0.043670
0.954143 0.041759 0.955057 0.043738
0.954157 0.041825 0.955073 0.043806
0.954171 0.041891 0.955090 0.043875
0.954185 0.041956 0.955107 0.043943
0.954199 0.042022 0.955124 0.044011
